Date/Time:25-10-2024 12:53:43	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadProductLeverancierById does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::ReadProductLeverancierById	Line number: 38	
Date/Time:25-10-2024 12:53:43	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:25-10-2024 12:53:46	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:25-10-2024 12:53:47	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:25-10-2024 12:53:48	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:25-10-2024 12:53:51	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:25-10-2024 12:54:09	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:25-10-2024 12:54:11	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:25-10-2024 12:54:53	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:25-10-2024 12:54:54	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:28-10-2024 12:22:20	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:28-10-2024 12:22:21	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:28-10-2024 12:22:22	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magzijnjamin.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
Date/Time:28-10-2024 12:24:35	Remote IP-Address: ::1	The error is:SQLSTATE[42000]: Syntax error or access violation: 1305 PROCEDURE magazijnjamil.spReadMagazijnProduct does not exist	Filename: C:\Users\lukav\OneDrive - MBO Utrecht\school-stuff-v2\US-REA\opdracht-1\MVC-Framework\app\models\Magazijn.php	Methodname: Magazijn::GetMagaijnProduct	Line number: 24	
